20,4932
30,4890
40,4828
50,4740
60,4619
70,4461
80,4261
90,4019
100,3740
110,3430
120,3101
130,2767
140,2441
150,2131
160,1847
170,1592
180,1369
190,1174
200,1006
220,745
240,556
